epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.959,1.60512,1.33216,1.74772,0.61903,0.64137,0.63999,0.40887,1.23592,1.42607,1.43477,0.0001875,0.0001875,0.0001875
2,177.399,1.74967,1.29154,1.83919,0.593,0.66012,0.64588,0.40149,1.22818,1.59927,1.43121,0.000349138,0.000349138,0.000349138
3,253.082,1.56041,0.99493,1.64883,0.56177,0.58342,0.59173,0.36237,1.31693,2.10923,1.49774,0.000471175,0.000471175,0.000471175
4,328.73,1.48849,0.88915,1.55794,0.59983,0.48323,0.49473,0.32218,1.30666,2.36456,1.479,0.000553613,0.000553613,0.000553613
5,400.012,1.52667,0.99212,1.59066,0.59689,0.40383,0.43426,0.28957,1.30702,2.50431,1.47873,0.00059645,0.00059645,0.00059645
6,472.121,1.36752,0.81221,1.48734,0.58585,0.41495,0.39966,0.2623,1.27174,2.54041,1.44179,0.000599687,0.000599687,0.000599687
7,547.922,1.28853,0.78835,1.39555,0.58702,0.39916,0.42027,0.26662,1.2706,2.55201,1.44012,0.0005075,0.0005075,0.0005075
8,617.708,1.29869,0.77493,1.40828,0.58168,0.40599,0.4024,0.25516,1.25749,2.59225,1.44951,0.00038375,0.00038375,0.00038375
9,682.819,1.2529,0.70641,1.41353,0.58558,0.39889,0.42082,0.27356,1.25365,2.61514,1.46189,0.00026,0.00026,0.00026
10,759.701,1.25068,0.68656,1.3593,0.58812,0.42017,0.43274,0.28498,1.24446,2.594,1.45227,0.00013625,0.00013625,0.00013625
