epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.796,1.9534,2.23651,2.08193,0.59741,0.70657,0.65461,0.42283,1.23076,1.30525,1.44228,0.0001875,0.0001875,0.0001875
2,377.839,1.85463,1.51634,1.95856,0.50583,0.74418,0.62678,0.41029,1.22562,1.53567,1.44722,0.000349138,0.000349138,0.000349138
3,516.486,1.64813,1.09914,1.71507,0.47911,0.57346,0.54379,0.34103,1.33892,2.16531,1.51398,0.000471175,0.000471175,0.000471175
4,647.746,1.53896,0.97267,1.60634,0.57107,0.49338,0.54339,0.34728,1.30285,2.27978,1.46323,0.000553613,0.000553613,0.000553613
5,782.36,1.54386,1.03005,1.62139,0.57937,0.45568,0.52917,0.35323,1.27293,2.27668,1.44493,0.00059645,0.00059645,0.00059645
6,914.218,1.37945,0.85344,1.50788,0.60346,0.45241,0.531,0.36368,1.23111,2.2288,1.41743,0.000599687,0.000599687,0.000599687
7,1041.54,1.29563,0.79415,1.41232,0.62265,0.4733,0.52395,0.35307,1.22411,2.29003,1.4047,0.0005075,0.0005075,0.0005075
8,1177.67,1.29402,0.77712,1.4046,0.64311,0.44827,0.5173,0.35398,1.21499,2.29204,1.41011,0.00038375,0.00038375,0.00038375
9,1344.43,1.23349,0.70872,1.40574,0.62833,0.42324,0.51706,0.35266,1.21378,2.36129,1.42,0.00026,0.00026,0.00026
10,1489.74,1.22969,0.68386,1.35893,0.6283,0.41785,0.51541,0.35378,1.21674,2.40074,1.42594,0.00013625,0.00013625,0.00013625
