epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0489,2.59144,4.17949,3.00228,0.60666,0.60841,0.63492,0.4438,1.13006,1.44631,1.3884,0.0001875,0.0001875,0.0001875
2,139.661,2.16039,1.91384,2.26899,0.53902,0.61643,0.51171,0.3509,1.15382,2.01143,1.386,0.000349138,0.000349138,0.000349138
3,204.325,1.76846,1.31106,1.82004,0.29888,0.49613,0.36553,0.25853,1.23807,2.98128,1.47413,0.000471175,0.000471175,0.000471175
4,264.07,1.65201,1.17315,1.705,0.34763,0.4227,0.307,0.22078,1.29533,2.90907,1.50616,0.000553613,0.000553613,0.000553613
5,327.604,1.56716,1.04358,1.66476,0.61422,0.40189,0.35755,0.25634,1.31227,2.88984,1.51937,0.00059645,0.00059645,0.00059645
6,389.953,1.41988,0.96488,1.57652,0.67053,0.3898,0.3818,0.27489,1.301,2.8539,1.50528,0.000599687,0.000599687,0.000599687
7,454.208,1.40073,0.89834,1.50834,0.69214,0.3983,0.40009,0.28889,1.26538,2.83603,1.48539,0.0005075,0.0005075,0.0005075
8,522.718,1.35216,0.85639,1.48112,0.71693,0.37715,0.40937,0.28773,1.285,2.9024,1.49008,0.00038375,0.00038375,0.00038375
9,583.962,1.29203,0.76818,1.45911,0.7353,0.38938,0.41257,0.28921,1.28574,2.92569,1.48043,0.00026,0.00026,0.00026
10,644.593,1.26724,0.76983,1.41212,0.7347,0.39137,0.41605,0.29161,1.27498,2.92348,1.47178,0.00013625,0.00013625,0.00013625
