epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1390.86,1.38835,1.8853,1.64829,0.79153,0.74026,0.83022,0.37013,1.87855,2.11134,1.9201,0.000662857,0.000662857,0.000662857
2,2685.58,1.38447,1.45991,1.60814,0.68548,0.62271,0.67385,0.29813,1.68395,2.19482,1.81707,0.0013032,0.0013032,0.0013032
3,3455.46,1.38126,1.28511,1.58721,0.62818,0.51948,0.58979,0.2254,2.09433,2.14879,2.08178,0.00191714,0.00191714,0.00191714
4,4002.17,1.34659,1.17206,1.56486,0.66092,0.57792,0.57722,0.13834,2.62877,1.73029,2.45806,0.0018812,0.0018812,0.0018812
5,4730.47,1.316,1.11001,1.54948,0.74945,0.70779,0.79453,0.28341,2.26268,1.39233,2.0337,0.0018416,0.0018416,0.0018416
6,5694.37,1.2641,1.04814,1.50148,0.86048,0.80096,0.89086,0.46713,1.65464,1.06269,1.65491,0.001802,0.001802,0.001802
7,6252.18,1.23125,0.99448,1.47418,0.88066,0.74675,0.85913,0.50474,1.4467,1.04752,1.54371,0.0017624,0.0017624,0.0017624
8,6806.93,1.20371,0.94046,1.4483,0.94082,0.82578,0.90594,0.50472,1.53413,0.92505,1.52135,0.0017228,0.0017228,0.0017228
9,7356.41,1.15769,0.9016,1.42675,0.8235,0.81804,0.87227,0.52639,1.41327,0.91611,1.56825,0.0016832,0.0016832,0.0016832
10,7900.19,1.12392,0.86306,1.40016,0.89911,0.83766,0.90753,0.49559,1.59457,0.91826,1.60668,0.0016436,0.0016436,0.0016436
11,8446.87,1.11925,0.8361,1.3956,0.8888,0.88235,0.92556,0.55557,1.39391,0.8701,1.48043,0.001604,0.001604,0.001604
12,9011.09,1.12978,0.83207,1.40067,0.90148,0.85714,0.89695,0.48131,1.58716,0.96512,1.59164,0.0015644,0.0015644,0.0015644
13,9566.47,1.08086,0.79888,1.36179,0.8916,0.908,0.93875,0.57064,1.36755,0.76778,1.43028,0.0015248,0.0015248,0.0015248
14,10126.6,1.06513,0.76985,1.3395,0.92878,0.84687,0.91421,0.55164,1.38463,0.84549,1.53323,0.0014852,0.0014852,0.0014852
15,10672.8,1.04932,0.76975,1.33049,0.94748,0.87662,0.93481,0.57032,1.31807,0.75164,1.38042,0.0014456,0.0014456,0.0014456
16,11226.6,1.02962,0.73564,1.31677,0.9249,0.87965,0.93646,0.56886,1.45614,0.73073,1.46796,0.001406,0.001406,0.001406
17,11780.3,1.02698,0.73241,1.31545,0.94344,0.8961,0.94451,0.60257,1.28404,0.68836,1.3926,0.0013664,0.0013664,0.0013664
18,12331.8,1.00147,0.68998,1.2974,0.94191,0.86364,0.94099,0.60415,1.23627,0.68376,1.32783,0.0013268,0.0013268,0.0013268
19,12880.9,0.99612,0.68473,1.29811,0.88244,0.88961,0.9429,0.61828,1.19637,0.68944,1.36269,0.0012872,0.0012872,0.0012872
20,13441.3,0.98965,0.68635,1.28842,0.928,0.84416,0.93082,0.60643,1.27039,0.68686,1.43368,0.0012476,0.0012476,0.0012476
21,14003.6,0.95289,0.6575,1.26816,0.90641,0.9026,0.94016,0.59291,1.26694,0.67988,1.39772,0.001208,0.001208,0.001208
22,14553.4,0.96466,0.66679,1.27923,0.90729,0.88966,0.93845,0.60355,1.23887,0.72344,1.3452,0.0011684,0.0011684,0.0011684
23,15109.9,0.94002,0.64425,1.26363,0.96686,0.88312,0.95063,0.61628,1.22859,0.68555,1.36955,0.0011288,0.0011288,0.0011288
24,15653.7,0.9421,0.63607,1.25482,0.86201,0.89246,0.91883,0.59581,1.19837,0.72152,1.35821,0.0010892,0.0010892,0.0010892
25,16208.4,0.93672,0.6239,1.25016,0.95114,0.88477,0.95073,0.61907,1.2299,0.64617,1.35179,0.0010496,0.0010496,0.0010496
26,16752.6,0.91567,0.62376,1.23765,0.96633,0.88312,0.94567,0.63088,1.19956,0.64202,1.35291,0.00101,0.00101,0.00101
27,17303.1,0.91081,0.60904,1.23654,0.98515,0.86148,0.95188,0.64177,1.17625,0.62834,1.30485,0.0009704,0.0009704,0.0009704
28,17869.3,0.89804,0.60688,1.23099,0.93328,0.90827,0.95209,0.6355,1.16487,0.6084,1.31054,0.0009308,0.0009308,0.0009308
29,18432.9,0.87514,0.58323,1.2168,0.93625,0.92208,0.96286,0.65479,1.10914,0.59245,1.29486,0.0008912,0.0008912,0.0008912
30,18984.4,0.89016,0.58469,1.22595,0.94721,0.9026,0.95693,0.64273,1.16864,0.5765,1.3163,0.0008516,0.0008516,0.0008516
31,19540.8,0.86565,0.57634,1.21171,0.96491,0.89276,0.95564,0.63935,1.19145,0.59014,1.31061,0.000812,0.000812,0.000812
32,20087.9,0.8635,0.56632,1.21162,0.95282,0.91794,0.96908,0.63599,1.213,0.60041,1.35637,0.0007724,0.0007724,0.0007724
33,20645.4,0.83922,0.55453,1.20123,0.98611,0.92232,0.96952,0.65278,1.15302,0.58854,1.3434,0.0007328,0.0007328,0.0007328
34,21207.5,0.84113,0.543,1.18594,0.9236,0.94199,0.96215,0.67173,1.06946,0.56744,1.27178,0.0006932,0.0006932,0.0006932
35,21766.8,0.82668,0.53347,1.18239,0.96025,0.94109,0.97009,0.65875,1.15846,0.56238,1.34609,0.0006536,0.0006536,0.0006536
36,22310.9,0.81513,0.52559,1.18128,0.95891,0.90912,0.96683,0.68,1.01261,0.5596,1.24481,0.000614,0.000614,0.000614
37,22864.7,0.80515,0.52336,1.17113,0.98628,0.93373,0.97004,0.67212,1.09756,0.53805,1.29361,0.0005744,0.0005744,0.0005744
38,23404.6,0.8074,0.50994,1.16819,0.97208,0.91558,0.97008,0.66876,1.09172,0.56245,1.30734,0.0005348,0.0005348,0.0005348
39,23917.7,0.80134,0.51431,1.16604,0.95401,0.96104,0.96778,0.66686,1.12078,0.53745,1.27742,0.0004952,0.0004952,0.0004952
40,24430.7,0.77764,0.50309,1.15078,0.97615,0.92208,0.96795,0.68647,1.05057,0.53537,1.2898,0.0004556,0.0004556,0.0004556
41,24969.7,0.71126,0.38432,1.15953,0.94572,0.94805,0.96364,0.68706,1.03926,0.52427,1.30796,0.000416,0.000416,0.000416
42,25510.4,0.68336,0.36319,1.13285,0.96245,0.90909,0.96264,0.69258,1.02174,0.52357,1.26445,0.0003764,0.0003764,0.0003764
43,26054.7,0.66119,0.35713,1.12014,0.93808,0.93506,0.9702,0.70462,1.01516,0.52691,1.24068,0.0003368,0.0003368,0.0003368
44,26599.5,0.6434,0.34566,1.10257,0.97326,0.9455,0.97342,0.69954,1.02538,0.51474,1.28298,0.0002972,0.0002972,0.0002972
45,27150.8,0.62868,0.33642,1.09557,0.96653,0.92857,0.97493,0.69916,1.01554,0.51485,1.27722,0.0002576,0.0002576,0.0002576
46,27699.3,0.61865,0.32802,1.08551,0.98127,0.90909,0.96876,0.68161,1.06703,0.53032,1.31953,0.000218,0.000218,0.000218
47,28248.9,0.61486,0.32497,1.08013,0.99299,0.92021,0.96807,0.69566,1.02392,0.50088,1.29153,0.0001784,0.0001784,0.0001784
