epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.254,1.29676,2.06241,1.63271,0.58877,0.60074,0.6357,0.47214,1.10523,1.22438,1.39105,0.0003625,0.0003625,0.0003625
2,218.532,1.17736,1.28869,1.46677,0.59169,0.64931,0.64453,0.47197,1.1417,1.22305,1.41968,0.000700994,0.000700994,0.000700994
3,325.263,1.11869,1.19472,1.39458,0.67931,0.62038,0.66207,0.46626,1.15706,1.36415,1.461,0.00100236,0.00100236,0.00100236
4,422.512,1.09544,1.12339,1.34985,0.69074,0.62647,0.66235,0.46719,1.26032,1.4076,1.51983,0.00106437,0.00106437,0.00106437
5,522.381,1.07206,1.00441,1.34874,0.80084,0.61939,0.71211,0.4984,1.20273,1.39461,1.47897,0.0010025,0.0010025,0.0010025
6,620.217,1.01201,0.93701,1.30352,0.81642,0.63798,0.73262,0.52786,1.13755,1.36373,1.40585,0.000940625,0.000940625,0.000940625
7,721.972,1.04123,0.95216,1.32109,0.75009,0.65862,0.71083,0.50849,1.12331,1.26854,1.39503,0.00087875,0.00087875,0.00087875
8,824.432,1.01658,0.88016,1.28054,0.73381,0.66736,0.71442,0.51894,1.1221,1.26987,1.39582,0.000816875,0.000816875,0.000816875
9,925.378,1.01828,0.90401,1.29008,0.72032,0.68212,0.72527,0.53423,1.09675,1.31388,1.377,0.000755,0.000755,0.000755
10,1032.45,1.00505,0.85762,1.30466,0.81046,0.65447,0.75514,0.55023,1.11339,1.20048,1.38505,0.000693125,0.000693125,0.000693125
11,1134.28,0.94233,0.71205,1.29848,0.82427,0.61644,0.73535,0.53838,1.12329,1.19054,1.39743,0.00063125,0.00063125,0.00063125
12,1235.32,0.89948,0.63606,1.26162,0.81608,0.66721,0.78168,0.55595,1.13205,1.12062,1.40008,0.000569375,0.000569375,0.000569375
13,1344.29,0.84802,0.58616,1.20027,0.80302,0.65029,0.75488,0.54482,1.14882,1.1968,1.41776,0.0005075,0.0005075,0.0005075
14,1452.68,0.87156,0.60483,1.22509,0.74666,0.66009,0.74186,0.54434,1.10849,1.17479,1.39381,0.000445625,0.000445625,0.000445625
15,1557.24,0.83471,0.55887,1.19579,0.78856,0.64099,0.72847,0.53512,1.12787,1.20746,1.41036,0.00038375,0.00038375,0.00038375
16,1662.41,0.79693,0.51255,1.16976,0.80026,0.65308,0.75273,0.54472,1.08541,1.16662,1.34726,0.000321875,0.000321875,0.000321875
17,1770.69,0.78652,0.51321,1.15831,0.81384,0.6268,0.72867,0.54351,1.08585,1.17334,1.34743,0.00026,0.00026,0.00026
18,1875.33,0.77448,0.50404,1.14468,0.85237,0.6121,0.74265,0.55305,1.06822,1.13535,1.33349,0.000198125,0.000198125,0.000198125
19,1979.71,0.75121,0.48242,1.13032,0.77632,0.69551,0.75882,0.55824,1.07046,1.11452,1.3415,0.00013625,0.00013625,0.00013625
20,2082.28,0.74703,0.46015,1.12743,0.82839,0.66123,0.76247,0.55701,1.07433,1.11233,1.34986,7.4375e-05,7.4375e-05,7.4375e-05
