epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.537,1.63011,1.75517,1.8211,0.55046,0.63134,0.68374,0.39164,1.44789,1.60774,1.61694,0.000410539,0.000410539,0.000410539
2,550.604,1.24555,1.07627,1.46861,0.84216,0.32353,0.66032,0.39683,1.44045,1.88042,1.60371,0.000786259,0.000786259,0.000786259
3,813.513,1.24067,1.0238,1.47346,0.8654,0.36499,0.68711,0.40368,1.48942,1.88579,1.64005,0.00112073,0.00112073,0.00112073
4,1082.32,1.18074,0.97385,1.42325,0.85627,0.35714,0.62315,0.35747,1.45805,1.93888,1.59044,0.00106437,0.00106437,0.00106437
5,1340.74,1.10843,0.92897,1.3665,0.87819,0.39134,0.68273,0.40691,1.51182,1.82974,1.64601,0.0010025,0.0010025,0.0010025
6,1608.55,1.13939,0.90902,1.38002,0.88053,0.39286,0.6397,0.41108,1.43105,2.04897,1.59102,0.000940625,0.000940625,0.000940625
7,1864.68,1.0818,0.85933,1.35597,0.8855,0.38866,0.64545,0.43182,1.40393,2.15177,1.58928,0.00087875,0.00087875,0.00087875
8,2128.08,1.06542,0.84752,1.33551,0.86701,0.37605,0.66017,0.40634,1.43888,2.17563,1.55867,0.000816875,0.000816875,0.000816875
9,2413.18,1.0574,0.80757,1.33438,0.89122,0.39076,0.67579,0.43735,1.39601,2.09988,1.58373,0.000755,0.000755,0.000755
10,2671.31,1.04564,0.80211,1.317,0.89158,0.38025,0.66848,0.40754,1.49326,2.18759,1.60804,0.000693125,0.000693125,0.000693125
11,2926.21,0.96227,0.6311,1.29501,0.87467,0.38309,0.57554,0.35259,1.52334,2.41028,1.65652,0.00063125,0.00063125,0.00063125
12,3189.15,0.91072,0.58276,1.24499,0.90136,0.38655,0.61648,0.38086,1.43824,2.15688,1.61093,0.000569375,0.000569375,0.000569375
13,3460.38,0.88715,0.54222,1.23367,0.8858,0.39743,0.65118,0.41205,1.53015,2.20799,1.6948,0.0005075,0.0005075,0.0005075
14,3722.81,0.85234,0.51559,1.20083,0.88774,0.42227,0.65377,0.41739,1.37987,2.01732,1.55147,0.000445625,0.000445625,0.000445625
15,3991.4,0.83007,0.49668,1.17527,0.90716,0.39706,0.66055,0.41195,1.47119,2.11032,1.62274,0.00038375,0.00038375,0.00038375
16,4242.83,0.82902,0.48964,1.1828,0.91538,0.39706,0.64795,0.4265,1.39219,2.08712,1.57472,0.000321875,0.000321875,0.000321875
17,4496.95,0.78604,0.47556,1.16107,0.91648,0.39809,0.68631,0.45753,1.38437,1.94137,1.56704,0.00026,0.00026,0.00026
18,4775.59,0.78691,0.46874,1.15512,0.9106,0.40336,0.68544,0.44545,1.38848,2.05069,1.55712,0.000198125,0.000198125,0.000198125
19,5046.61,0.75085,0.4463,1.13177,0.90631,0.40546,0.67869,0.44593,1.3982,1.99872,1.56666,0.00013625,0.00013625,0.00013625
20,5305.72,0.74138,0.44707,1.12113,0.91552,0.40336,0.68681,0.45166,1.36998,1.96007,1.54917,7.4375e-05,7.4375e-05,7.4375e-05
