epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.921,1.35675,2.21183,1.66549,0.53462,0.72634,0.67106,0.49704,1.0472,1.14907,1.34873,0.000375,0.000375,0.000375
2,230.886,1.20356,1.36355,1.45983,0.76261,0.60358,0.70635,0.51286,1.07947,1.19686,1.35491,0.000724756,0.000724756,0.000724756
3,356.626,1.12265,1.17219,1.38801,0.76772,0.65406,0.72788,0.49136,1.13306,1.19561,1.41519,0.00103615,0.00103615,0.00103615
4,478.835,1.12003,1.10708,1.37582,0.75868,0.67764,0.72948,0.48915,1.18814,1.28159,1.42686,0.00106437,0.00106437,0.00106437
5,609.498,1.03512,1.01656,1.30949,0.86291,0.64881,0.71348,0.50035,1.19032,1.39375,1.45447,0.0010025,0.0010025,0.0010025
6,725.542,1.08274,0.98391,1.33542,0.87561,0.60277,0.7293,0.5133,1.17555,1.35538,1.43432,0.000940625,0.000940625,0.000940625
7,848.548,1.03101,0.9109,1.28788,0.68263,0.60438,0.65187,0.46949,1.11793,1.43984,1.38633,0.00087875,0.00087875,0.00087875
8,976.618,1.00507,0.90611,1.27547,0.76859,0.60764,0.68931,0.47449,1.15681,1.37671,1.41948,0.000816875,0.000816875,0.000816875
9,1100.3,1.0341,0.88029,1.30526,0.7229,0.62115,0.67703,0.47742,1.15918,1.34925,1.45061,0.000755,0.000755,0.000755
10,1221.9,0.9677,0.83337,1.25365,0.78774,0.6492,0.7276,0.5241,1.08786,1.23152,1.3733,0.000693125,0.000693125,0.000693125
11,1346.66,0.95904,0.68476,1.30647,0.74162,0.65067,0.72154,0.5035,1.16699,1.30249,1.42145,0.00063125,0.00063125,0.00063125
12,1471.74,0.89969,0.65031,1.22153,0.82364,0.65102,0.74982,0.53806,1.10275,1.20515,1.36335,0.000569375,0.000569375,0.000569375
13,1593.1,0.8568,0.5763,1.19228,0.819,0.67553,0.77188,0.54518,1.10075,1.07436,1.36768,0.0005075,0.0005075,0.0005075
14,1718.36,0.84058,0.57422,1.19389,0.86871,0.67582,0.78467,0.56801,1.06611,1.01261,1.33585,0.000445625,0.000445625,0.000445625
15,1842.32,0.84201,0.55981,1.18408,0.85443,0.66704,0.78089,0.5747,1.06131,1.11152,1.32263,0.00038375,0.00038375,0.00038375
16,1970.68,0.79454,0.54092,1.16182,0.79269,0.71068,0.77539,0.56261,1.06861,1.14542,1.33471,0.000321875,0.000321875,0.000321875
17,2096.67,0.76346,0.5011,1.13895,0.83621,0.70985,0.78784,0.57399,1.0592,1.08712,1.32094,0.00026,0.00026,0.00026
18,2225.9,0.77149,0.51579,1.14876,0.83746,0.71094,0.7846,0.57725,1.0563,1.07528,1.32275,0.000198125,0.000198125,0.000198125
19,2349.89,0.78279,0.50089,1.14205,0.82136,0.71509,0.78216,0.57362,1.0459,1.06716,1.31487,0.00013625,0.00013625,0.00013625
20,2478.01,0.74488,0.49006,1.11594,0.82524,0.69972,0.78143,0.57619,1.0368,1.06281,1.3062,7.4375e-05,7.4375e-05,7.4375e-05
