epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.5711,1.34307,0.96349,1.52239,0.30035,0.57778,0.32175,0.18441,1.76658,11.3948,1.69384,0.0001875,0.0001875,0.0001875
2,158.657,1.69965,1.18631,1.77992,0.39546,0.52341,0.37125,0.21085,1.73048,11.0099,1.60353,0.000349138,0.000349138,0.000349138
3,232.948,1.5349,0.97106,1.6292,0.38346,0.57778,0.39595,0.21978,1.75401,7.76146,1.59113,0.000471175,0.000471175,0.000471175
4,305.853,1.49734,0.90068,1.55054,0.37383,0.59705,0.36611,0.21482,1.67369,7.08164,1.52883,0.000553613,0.000553613,0.000553613
5,383.36,1.51252,0.94995,1.57518,0.40426,0.62222,0.39337,0.2145,1.52793,7.37934,1.48864,0.00059645,0.00059645,0.00059645
6,460.189,1.34103,0.80599,1.46039,0.41686,0.68315,0.40317,0.21626,1.5729,6.9885,1.55707,0.000599687,0.000599687,0.000599687
7,526.558,1.28781,0.73289,1.3852,0.46594,0.65927,0.41522,0.23509,1.61947,5.47945,1.53308,0.0005075,0.0005075,0.0005075
8,594.243,1.2735,0.70155,1.37186,0.47596,0.62222,0.43078,0.25112,1.69236,4.99427,1.57582,0.00038375,0.00038375,0.00038375
9,658.415,1.23009,0.65844,1.37355,0.45257,0.66667,0.41624,0.24355,1.67962,5.55294,1.55862,0.00026,0.00026,0.00026
10,730.747,1.18969,0.63812,1.31183,0.45245,0.62222,0.42056,0.24848,1.67468,6.04106,1.55374,0.00013625,0.00013625,0.00013625
