epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8153,1.65898,6.24361,1.74792,0.7619,0.8,0.81792,0.55876,1.26495,3.65544,1.49634,0.0001375,0.0001375,0.0001375
2,115.852,1.48313,3.60674,1.61109,1,0.94279,0.97278,0.63805,1.24203,0.79172,1.38888,0.000281807,0.000281807,0.000281807
3,169.624,1.27005,1.39737,1.39969,1,0.99543,0.995,0.70935,1.01652,0.4607,1.36208,0.000420175,0.000420175,0.000420175
4,218.883,1.12132,0.76275,1.28042,0.98822,1,0.995,0.76335,0.92953,0.45612,1.37,0.000552602,0.000552602,0.000552602
5,263.739,0.97074,0.67358,1.21466,0.99497,1,0.995,0.77384,0.92351,0.45999,1.35687,0.00067909,0.00067909,0.00067909
6,312.368,0.9407,0.62475,1.19495,0.99624,1,0.995,0.7256,0.97149,0.45775,1.36515,0.000799638,0.000799638,0.000799638
7,358.225,0.94155,0.63301,1.2224,0.99558,1,0.995,0.65551,1.13665,0.50992,1.4109,0.000914245,0.000914245,0.000914245
8,404.021,0.85897,0.59358,1.16125,0.99667,1,0.995,0.66794,1.12724,0.48282,1.37714,0.00102291,0.00102291,0.00102291
9,449.353,0.83288,0.57094,1.15716,0.99661,1,0.995,0.70248,1.01797,0.47565,1.33429,0.001052,0.001052,0.001052
10,498.474,0.83772,0.54451,1.14121,0.99605,1,0.995,0.73047,0.97334,0.46774,1.27106,0.00102725,0.00102725,0.00102725
11,548.718,0.81635,0.52542,1.11159,0.99669,1,0.995,0.7305,0.99702,0.4535,1.23516,0.0010025,0.0010025,0.0010025
12,594.12,0.80581,0.52809,1.12768,0.99683,1,0.995,0.74704,0.96692,0.43401,1.22583,0.00097775,0.00097775,0.00097775
13,641.678,0.79347,0.54355,1.12855,0.99651,1,0.995,0.70748,0.93895,0.45775,1.16771,0.000953,0.000953,0.000953
14,688.167,0.78623,0.47441,1.10181,1,0.99356,0.995,0.73845,0.93778,0.43946,1.1831,0.00092825,0.00092825,0.00092825
15,735.263,0.77187,0.4898,1.08311,0.95027,1,0.96643,0.71271,0.9976,0.47658,1.23801,0.0009035,0.0009035,0.0009035
16,783.986,0.74714,0.50716,1.07184,0.9972,1,0.995,0.75371,0.94283,0.43895,1.19701,0.00087875,0.00087875,0.00087875
17,831.708,0.76783,0.50072,1.07179,0.9971,1,0.995,0.76711,0.8786,0.39323,1.26655,0.000854,0.000854,0.000854
18,880.716,0.71288,0.47729,1.05961,0.99712,1,0.995,0.77955,0.90819,0.41965,1.2904,0.00082925,0.00082925,0.00082925
19,929.876,0.77866,0.49191,1.1089,0.9972,1,0.995,0.76431,0.9806,0.39492,1.29732,0.0008045,0.0008045,0.0008045
20,976.114,0.7482,0.48254,1.08265,0.99736,1,0.995,0.74515,0.93021,0.41508,1.25497,0.00077975,0.00077975,0.00077975
21,1018.46,0.72831,0.4797,1.07725,0.99833,1,0.995,0.74886,0.94948,0.38287,1.24197,0.000755,0.000755,0.000755
22,1066.92,0.67669,0.4392,1.03432,0.99842,1,0.995,0.76086,0.93599,0.38244,1.2063,0.00073025,0.00073025,0.00073025
23,1112.63,0.6676,0.44671,1.04227,0.99765,1,0.995,0.7756,0.96103,0.35723,1.21429,0.0007055,0.0007055,0.0007055
24,1159.51,0.65475,0.4313,1.03341,0.99756,1,0.995,0.7658,0.90692,0.37295,1.2259,0.00068075,0.00068075,0.00068075
25,1204.24,0.66384,0.43588,1.02609,0.99757,1,0.995,0.78141,0.92747,0.38142,1.24483,0.000656,0.000656,0.000656
26,1248.49,0.65252,0.43046,1.03031,0.99752,1,0.995,0.75535,0.9881,0.38163,1.26953,0.00063125,0.00063125,0.00063125
27,1293.4,0.64164,0.4329,1.04,0.99752,1,0.995,0.76467,0.96191,0.3613,1.28588,0.0006065,0.0006065,0.0006065
28,1334.85,0.65311,0.42928,1.03648,0.99756,1,0.995,0.73626,1.008,0.37373,1.31339,0.00058175,0.00058175,0.00058175
29,1378.49,0.62889,0.4122,1.01306,0.99743,1,0.995,0.75178,0.93833,0.35375,1.26374,0.000557,0.000557,0.000557
30,1426.76,0.62281,0.39588,1.02353,0.99731,1,0.995,0.75127,0.96648,0.35983,1.27053,0.00053225,0.00053225,0.00053225
31,1477.93,0.59274,0.36524,0.99978,0.9972,1,0.995,0.76367,0.96786,0.35564,1.26603,0.0005075,0.0005075,0.0005075
32,1526.41,0.59342,0.39215,1.01664,0.99717,1,0.995,0.76214,0.96236,0.35547,1.25867,0.00048275,0.00048275,0.00048275
33,1574.59,0.59518,0.38135,1.00652,0.99724,1,0.995,0.74138,0.98306,0.36528,1.25916,0.000458,0.000458,0.000458
34,1618.88,0.6242,0.41663,1.0537,0.99734,1,0.995,0.74445,1.00449,0.36941,1.27918,0.00043325,0.00043325,0.00043325
35,1670.85,0.66118,0.41951,1.07614,0.99748,1,0.995,0.74877,0.99759,0.36513,1.27295,0.0004085,0.0004085,0.0004085
36,1715.15,0.57739,0.36559,1.0107,0.99742,1,0.995,0.75801,0.97447,0.36453,1.25116,0.00038375,0.00038375,0.00038375
37,1761.21,0.5828,0.37429,1.0237,0.99741,1,0.995,0.76455,0.96122,0.36706,1.23582,0.000359,0.000359,0.000359
38,1808.74,0.56672,0.38477,0.99794,0.99734,1,0.995,0.7528,0.99306,0.35532,1.25869,0.00033425,0.00033425,0.00033425
39,1859.19,0.64245,0.3966,1.03807,0.9973,1,0.995,0.73836,1.03794,0.35709,1.28552,0.0003095,0.0003095,0.0003095
40,1904.55,0.59023,0.36259,1.00369,0.99725,1,0.995,0.73523,1.06186,0.3707,1.303,0.00028475,0.00028475,0.00028475
41,1952.9,0.38953,0.26072,0.91501,0.99723,1,0.995,0.7458,1.0242,0.37149,1.28179,0.00026,0.00026,0.00026
42,1997.91,0.40295,0.26408,0.89762,0.99723,1,0.995,0.75148,1.01147,0.3716,1.27889,0.00023525,0.00023525,0.00023525
43,2041.37,0.39171,0.25834,0.88898,0.99718,1,0.995,0.75966,0.98482,0.35962,1.27279,0.0002105,0.0002105,0.0002105
44,2085.03,0.40272,0.24975,0.88622,0.99723,1,0.995,0.7548,0.96621,0.35401,1.26519,0.00018575,0.00018575,0.00018575
45,2131.02,0.39908,0.25086,0.89528,0.99721,1,0.995,0.75978,0.96947,0.35079,1.26871,0.000161,0.000161,0.000161
46,2234.11,0.3869,0.24224,0.9036,0.99724,1,0.995,0.75902,0.96344,0.34667,1.26384,0.00013625,0.00013625,0.00013625
47,2367.99,0.38396,0.24719,0.88731,0.99727,1,0.995,0.7595,0.95179,0.3467,1.25166,0.0001115,0.0001115,0.0001115
