epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4535,2.32899,4.5914,2.39152,0.32466,0.37778,0.27636,0.10701,2.47208,2.22526,2.6269,0.0001875,0.0001875,0.0001875
2,145.732,2.00807,2.45648,2.01342,0.39547,0.62222,0.49014,0.22123,2.04287,1.38847,1.91419,0.000361925,0.000361925,0.000361925
3,206.171,1.8172,1.56669,1.78501,0.60351,0.53333,0.60596,0.29884,2.03696,1.51292,1.88491,0.00050995,0.00050995,0.00050995
4,260.376,1.62182,1.28379,1.63453,0.63874,0.6,0.67211,0.34025,2.07288,1.27891,1.98244,0.000631575,0.000631575,0.000631575
5,318.431,1.5596,1.31745,1.55489,0.69616,0.68889,0.72279,0.35963,1.84172,1.03983,1.70675,0.0007268,0.0007268,0.0007268
6,372.097,1.50063,1.06258,1.56978,0.77008,0.66667,0.74579,0.40357,1.64386,1.05982,1.62032,0.000795625,0.000795625,0.000795625
7,433.136,1.39341,0.95271,1.49748,0.84142,0.66667,0.78413,0.43131,1.60784,1.00957,1.5771,0.000755,0.000755,0.000755
8,488.819,1.38494,0.87926,1.49729,0.85441,0.65222,0.76744,0.42002,1.62215,0.88586,1.54642,0.0006725,0.0006725,0.0006725
9,542.884,1.25853,0.75753,1.41746,0.89588,0.66667,0.76091,0.41151,1.70654,0.88462,1.60379,0.00059,0.00059,0.00059
10,597.212,1.25298,0.72453,1.36649,0.88524,0.68574,0.74454,0.41816,1.70345,0.86094,1.59365,0.0005075,0.0005075,0.0005075
11,657.866,1.20836,0.67548,1.36689,0.84808,0.66667,0.75078,0.42789,1.67389,0.81542,1.56853,0.000425,0.000425,0.000425
12,715.972,1.21703,0.6696,1.34578,0.83724,0.68596,0.76757,0.43564,1.63059,0.82886,1.5516,0.0003425,0.0003425,0.0003425
13,766.696,1.20242,0.65317,1.35257,0.83944,0.69724,0.75676,0.4384,1.61666,0.85121,1.55566,0.00026,0.00026,0.00026
14,825.872,1.20909,0.64469,1.3463,0.86209,0.6947,0.75909,0.43007,1.67103,0.83646,1.61014,0.0001775,0.0001775,0.0001775
15,887.457,1.16267,0.63049,1.32016,0.83241,0.71111,0.75896,0.43332,1.6807,0.83266,1.61766,9.5e-05,9.5e-05,9.5e-05
