epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.145,2.55091,4.28034,2.89405,0.55394,0.59128,0.57209,0.33102,1.53171,1.77286,1.62132,0.0001875,0.0001875,0.0001875
2,130.224,2.14694,2.35273,2.25374,0.61178,0.59674,0.56207,0.31708,1.4399,1.61169,1.53579,0.000349138,0.000349138,0.000349138
3,190.376,1.77119,1.23736,1.8262,0.47829,0.51808,0.42317,0.23019,1.53085,2.26781,1.60986,0.000471175,0.000471175,0.000471175
4,248.336,1.64847,1.10327,1.64977,0.50581,0.3619,0.30941,0.1765,1.50616,2.3866,1.58765,0.000553613,0.000553613,0.000553613
5,302.714,1.58714,1.05669,1.65106,0.48084,0.36891,0.28298,0.16636,1.50794,2.4999,1.59692,0.00059645,0.00059645,0.00059645
6,357.943,1.39951,0.93445,1.49951,0.52374,0.35112,0.31435,0.19784,1.47493,2.44037,1.61119,0.000599687,0.000599687,0.000599687
7,412.189,1.32976,0.82977,1.49396,0.53641,0.35445,0.33891,0.21445,1.38396,2.40296,1.52772,0.0005075,0.0005075,0.0005075
8,463.571,1.34744,0.77748,1.48923,0.54184,0.35266,0.32732,0.21065,1.35367,2.40168,1.49851,0.00038375,0.00038375,0.00038375
9,515.602,1.32813,0.69244,1.44016,0.6256,0.33643,0.34856,0.22454,1.34511,2.45374,1.5055,0.00026,0.00026,0.00026
10,566.313,1.30208,0.66967,1.40688,0.67531,0.32771,0.35737,0.2303,1.35037,2.48911,1.51933,0.00013625,0.00013625,0.00013625
