epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.033,2.32899,4.5914,2.39152,0.32466,0.37778,0.27636,0.10701,2.47208,2.22526,2.6269,0.0001875,0.0001875,0.0001875
2,180.628,2.00158,2.43887,2.00761,0.56105,0.42615,0.4879,0.22042,2.03999,1.39501,1.91252,0.000379828,0.000379828,0.000379828
3,248.853,1.80567,1.541,1.77288,0.59204,0.55556,0.61338,0.3034,2.02407,1.52537,1.87929,0.000564235,0.000564235,0.000564235
4,314.173,1.6085,1.27764,1.62189,0.77209,0.55556,0.68458,0.35031,2.09936,1.27166,2.02895,0.000740722,0.000740722,0.000740722
5,372.693,1.54721,1.30037,1.55598,0.76093,0.62222,0.69672,0.37194,1.80002,1.06514,1.7064,0.00090929,0.00090929,0.00090929
6,432.953,1.51762,1.25572,1.52554,0.7411,0.53333,0.63763,0.3314,1.69253,1.03845,1.67807,0.00106994,0.00106994,0.00106994
7,490.719,1.46212,1.09429,1.52131,0.77155,0.57778,0.70763,0.37384,1.59639,0.98386,1.61316,0.0011015,0.0011015,0.0011015
8,545.883,1.43829,1.0828,1.47401,0.754,0.68126,0.72899,0.3858,1.62154,0.87969,1.58809,0.00107675,0.00107675,0.00107675
9,604.688,1.3941,1.0189,1.42721,0.78698,0.65694,0.7157,0.36867,1.5942,0.89786,1.57199,0.001052,0.001052,0.001052
10,671.918,1.39668,0.95136,1.44585,0.7007,0.67646,0.71813,0.38759,1.64181,0.95595,1.70274,0.00102725,0.00102725,0.00102725
11,733.814,1.37144,0.94009,1.44094,0.8842,0.6789,0.76663,0.41855,1.69381,0.93485,1.72958,0.0010025,0.0010025,0.0010025
12,786.662,1.35381,1.00317,1.42584,0.74882,0.72884,0.7285,0.40669,1.66401,0.95246,1.67764,0.00097775,0.00097775,0.00097775
13,838.64,1.3437,0.92264,1.43169,0.86778,0.72935,0.7482,0.43602,1.67403,0.89734,1.65721,0.000953,0.000953,0.000953
14,903.106,1.42683,1.00184,1.46947,0.76917,0.74059,0.70465,0.38192,1.7103,0.99435,1.70229,0.00092825,0.00092825,0.00092825
15,959.056,1.30106,0.9618,1.39117,0.79974,0.71111,0.71141,0.41364,1.64898,0.9573,1.70872,0.0009035,0.0009035,0.0009035
16,1017.12,1.27867,0.84513,1.34807,0.87028,0.71111,0.73161,0.42971,1.71958,0.88117,1.8537,0.00087875,0.00087875,0.00087875
17,1073.58,1.28592,0.88154,1.37883,0.8887,0.71111,0.75506,0.43957,1.69547,0.82487,1.78702,0.000854,0.000854,0.000854
18,1129.9,1.27233,0.83213,1.36961,0.89407,0.71111,0.77195,0.45169,1.59819,0.82848,1.55536,0.00082925,0.00082925,0.00082925
19,1187.77,1.29747,0.88096,1.38276,0.90161,0.71111,0.76835,0.44136,1.62672,0.85741,1.51519,0.0008045,0.0008045,0.0008045
20,1255.2,1.203,0.85216,1.33594,0.85653,0.66667,0.75812,0.45391,1.57282,0.87726,1.52763,0.00077975,0.00077975,0.00077975
21,1314.53,1.1734,0.78407,1.31407,0.86948,0.66667,0.746,0.45967,1.54884,0.90318,1.53909,0.000755,0.000755,0.000755
22,1373.9,1.23321,0.76949,1.34288,0.88146,0.66112,0.7402,0.46359,1.62945,0.95138,1.65533,0.00073025,0.00073025,0.00073025
23,1433.06,1.19958,0.81452,1.32165,0.82756,0.68889,0.70453,0.44809,1.63999,1.01936,1.63337,0.0007055,0.0007055,0.0007055
24,1491.13,1.23799,0.82218,1.33556,0.75889,0.64444,0.68981,0.43378,1.64753,1.06116,1.63198,0.00068075,0.00068075,0.00068075
25,1548.2,1.19169,0.81782,1.31373,0.78542,0.68889,0.68803,0.4064,1.62409,0.89696,1.62556,0.000656,0.000656,0.000656
26,1604.15,1.17875,0.78749,1.29382,0.8031,0.68889,0.70855,0.41294,1.65082,0.93936,1.66874,0.00063125,0.00063125,0.00063125
27,1654.89,1.07392,0.73597,1.26592,0.78013,0.71111,0.71937,0.43256,1.64006,0.9273,1.67871,0.0006065,0.0006065,0.0006065
28,1713.13,1.13184,0.76861,1.25165,0.75977,0.68889,0.70865,0.43851,1.58852,0.91708,1.5656,0.00058175,0.00058175,0.00058175
29,1769.88,1.15546,0.74521,1.27543,0.84244,0.68889,0.71627,0.4566,1.47772,0.86733,1.47201,0.000557,0.000557,0.000557
30,1832.99,1.02179,0.69388,1.22122,0.81502,0.68544,0.70955,0.44572,1.53467,0.87161,1.4966,0.00053225,0.00053225,0.00053225
31,1897.34,1.12044,0.71278,1.25382,0.79211,0.71111,0.72017,0.43882,1.63804,0.88583,1.59918,0.0005075,0.0005075,0.0005075
32,1965.37,1.07438,0.75047,1.24055,0.83777,0.73333,0.75232,0.46395,1.62166,0.86915,1.68844,0.00048275,0.00048275,0.00048275
33,2035.28,1.03728,0.67652,1.23548,0.88516,0.73333,0.74683,0.45316,1.61241,0.87401,1.6722,0.000458,0.000458,0.000458
