epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5543,1.97334,5.88904,2.28185,0,0,0,0,1.88188,5.40534,2.29996,3.75e-05,3.75e-05,3.75e-05
2,60.1382,2.11377,5.84633,2.43142,0.125,0.14286,0.07143,0.01429,1.98627,5.05503,2.33889,8.57675e-05,8.57675e-05,8.57675e-05
3,78.1709,1.96466,5.57141,2.23068,0.10526,0.28571,0.15167,0.06799,2.4716,4.33536,2.96953,0.000132055,0.000132055,0.000132055
4,95.0313,2.08823,4.93029,2.35877,0.6219,0.28571,0.30056,0.1689,2.50979,3.63996,2.69394,0.000176362,0.000176362,0.000176362
5,111.961,1.99193,4.14903,2.29217,0.7682,0.14286,0.21523,0.16026,2.35651,2.97663,2.4974,0.00021869,0.00021869,0.00021869
6,127.367,1.71246,3.69941,2.06946,0.86378,0.14286,0.18412,0.16149,2.20381,2.50706,2.36039,0.000259038,0.000259038,0.000259038
7,142.78,1.8361,3.35432,2.16189,0.89816,0.14286,0.21392,0.1689,1.9786,2.24895,2.01528,0.000297405,0.000297405,0.000297405
8,157.812,1.6947,2.98279,1.94051,0.88694,0.14286,0.2245,0.17445,1.8147,2.26832,1.87562,0.000333792,0.000333792,0.000333792
9,174.287,1.80292,2.77244,2.07733,0.21006,0.57143,0.29094,0.17669,1.79106,2.39434,1.74536,0.0003682,0.0003682,0.0003682
10,188.947,1.65752,2.27398,1.88158,0.15033,0.28571,0.15544,0.09868,2.04746,2.48094,2.0129,0.000400628,0.000400628,0.000400628
11,206.303,1.53405,2.16063,1.7757,0.22437,0.42857,0.15881,0.0869,1.82367,2.58946,1.76888,0.000431075,0.000431075,0.000431075
12,223.339,1.39647,1.86871,1.6555,0.24049,0.42857,0.22608,0.1165,2.03447,2.25237,1.88347,0.000459543,0.000459543,0.000459543
13,240.068,1.38434,1.62472,1.68715,0.18323,0.57143,0.22394,0.14782,1.80975,2.30472,1.7482,0.00048603,0.00048603,0.00048603
14,254.242,1.30988,1.53055,1.59569,0.31663,0.28571,0.2575,0.1671,1.86352,2.29357,1.83634,0.000510537,0.000510537,0.000510537
15,270.175,1.28803,1.41709,1.58581,0.32063,0.57143,0.44878,0.24369,1.85281,2.01376,1.78263,0.000533065,0.000533065,0.000533065
16,285.009,1.34872,1.38471,1.60608,0.44843,0.69827,0.44233,0.21861,1.99821,2.0002,1.84734,0.000553613,0.000553613,0.000553613
17,301.287,1.30753,1.35567,1.61291,0.38119,0.57143,0.43471,0.21328,2.18309,2.01768,1.93754,0.00057218,0.00057218,0.00057218
18,316.23,1.18373,1.18139,1.4951,0.55112,0.71429,0.57798,0.19437,2.64755,2.16542,2.27552,0.000588767,0.000588767,0.000588767
19,330.93,1.17037,1.0996,1.52663,0.76779,0.47941,0.55423,0.16909,2.74033,2.32126,2.36881,0.000603375,0.000603375,0.000603375
20,348.417,1.28287,1.15398,1.5568,0.61424,0.57143,0.59825,0.17881,2.7271,2.46783,2.38431,0.000616003,0.000616003,0.000616003
21,364.64,1.13758,1.06263,1.46705,0.61109,0.67719,0.51494,0.20507,2.53619,2.08259,2.30296,0.00062665,0.00062665,0.00062665
22,381.251,1.04903,1.06217,1.39607,0.57287,0.57143,0.53628,0.20977,2.62207,1.80147,2.44967,0.000635318,0.000635318,0.000635318
23,398.984,1.12661,1.01228,1.47322,0.62049,0.71429,0.57031,0.21049,2.56172,1.72058,2.37666,0.000642005,0.000642005,0.000642005
24,415.197,1.15265,0.99505,1.43161,0.61567,0.71429,0.57259,0.21122,2.4933,1.79933,2.26451,0.000646713,0.000646713,0.000646713
25,432.172,1.05299,0.957,1.35496,0.54863,0.71429,0.56494,0.22149,2.45976,1.81032,2.21853,0.00064944,0.00064944,0.00064944
26,448.621,1.03003,0.87532,1.37289,0.48444,0.71429,0.51771,0.20023,2.38403,1.78382,2.13111,0.00063125,0.00063125,0.00063125
27,463.132,1.08632,0.93269,1.45503,0.69137,0.57143,0.69995,0.22371,2.51738,1.70829,2.24122,0.0006065,0.0006065,0.0006065
