epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.1927,1.54062,2.67178,1.81535,0.64153,0.69047,0.67803,0.47604,1.10078,1.23609,1.38673,0.0002875,0.0002875,0.0002875
2,168.415,1.29801,1.49189,1.54213,0.50854,0.69434,0.58011,0.39935,1.11224,1.53165,1.36374,0.000558419,0.000558419,0.000558419
3,241.869,1.14487,1.21638,1.39598,0.46983,0.60271,0.58286,0.39754,1.1572,1.56014,1.38432,0.000799638,0.000799638,0.000799638
4,314.875,1.15617,1.17738,1.41905,0.46782,0.59564,0.57425,0.39912,1.25527,1.9906,1.48374,0.00101116,0.00101116,0.00101116
5,389.056,1.14034,1.10107,1.4028,0.56584,0.58171,0.62768,0.4089,1.30186,1.91128,1.53154,0.0010025,0.0010025,0.0010025
6,464.05,1.08798,0.98904,1.36535,0.5969,0.57916,0.64146,0.41832,1.27607,1.84162,1.50672,0.000940625,0.000940625,0.000940625
7,536.203,1.10987,0.94275,1.36039,0.59202,0.55339,0.62239,0.42269,1.21211,1.80299,1.4409,0.00087875,0.00087875,0.00087875
8,610.68,1.05398,0.86235,1.32405,0.5096,0.57766,0.60666,0.4088,1.22545,1.96908,1.45745,0.000816875,0.000816875,0.000816875
9,684.135,1.02267,0.88337,1.30345,0.56703,0.58499,0.65108,0.42625,1.20387,1.80396,1.4621,0.000755,0.000755,0.000755
10,761.106,1.08178,0.90621,1.32961,0.75589,0.45351,0.64897,0.43963,1.22728,1.81399,1.47282,0.000693125,0.000693125,0.000693125
11,846.576,0.97661,0.70456,1.29667,0.54153,0.55316,0.58778,0.38653,1.26222,1.92596,1.49128,0.00063125,0.00063125,0.00063125
12,934.216,0.94056,0.63853,1.2366,0.53455,0.57961,0.62025,0.40724,1.22284,1.90612,1.45737,0.000569375,0.000569375,0.000569375
13,1019.25,0.91963,0.60037,1.25857,0.57366,0.61342,0.65888,0.43917,1.19768,1.87446,1.42197,0.0005075,0.0005075,0.0005075
14,1102.45,0.88175,0.57913,1.21899,0.61428,0.60535,0.67443,0.45431,1.18442,1.86874,1.41683,0.000445625,0.000445625,0.000445625
15,1186.97,0.84985,0.56094,1.19958,0.64324,0.58553,0.66143,0.45677,1.148,1.83787,1.3867,0.00038375,0.00038375,0.00038375
16,1273.95,0.84865,0.53947,1.20464,0.62447,0.58341,0.67172,0.45962,1.13191,1.81727,1.37393,0.000321875,0.000321875,0.000321875
17,1360.31,0.84337,0.5039,1.18769,0.62581,0.57178,0.67904,0.4565,1.14039,1.83709,1.38861,0.00026,0.00026,0.00026
18,1447.56,0.8229,0.51625,1.17848,0.62971,0.57314,0.69897,0.47405,1.14741,1.80495,1.38908,0.000198125,0.000198125,0.000198125
19,1537.77,0.83454,0.51467,1.16389,0.63218,0.57693,0.70236,0.47317,1.15003,1.78702,1.39305,0.00013625,0.00013625,0.00013625
20,1628.68,0.79006,0.5183,1.16323,0.63786,0.5715,0.70332,0.4705,1.14613,1.78145,1.3914,7.4375e-05,7.4375e-05,7.4375e-05
