epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.109,1.33191,2.28349,1.66034,0.63702,0.59408,0.6048,0.45535,1.13267,1.50802,1.41638,0.000404412,0.000404412,0.000404412
2,268.55,1.07946,1.22061,1.37533,0.74215,0.56029,0.65122,0.46396,1.21594,1.56761,1.4547,0.000780435,0.000780435,0.000780435
3,395.701,1.10172,1.15926,1.37372,0.73596,0.50845,0.62074,0.42855,1.35361,1.76426,1.59046,0.00111521,0.00111521,0.00111521
4,521.822,1.10291,1.06368,1.37297,0.74781,0.54139,0.61185,0.42176,1.4127,1.7888,1.62895,0.00106437,0.00106437,0.00106437
5,642.171,1.00566,0.92313,1.27789,0.81273,0.52871,0.61934,0.43254,1.37522,1.88059,1.6151,0.0010025,0.0010025,0.0010025
6,764.325,1.02727,0.94498,1.29615,0.79458,0.53986,0.63384,0.44462,1.32215,1.72803,1.5573,0.000940625,0.000940625,0.000940625
7,888.494,1.03062,0.93926,1.30316,0.75221,0.50477,0.5948,0.43907,1.24542,1.94054,1.51058,0.00087875,0.00087875,0.00087875
8,1010.19,1.00694,0.91506,1.296,0.76196,0.50309,0.58979,0.43034,1.34517,2.1925,1.60856,0.000816875,0.000816875,0.000816875
9,1130.77,1.00026,0.89718,1.28592,0.85485,0.4822,0.62419,0.45015,1.24896,1.91938,1.49619,0.000755,0.000755,0.000755
10,1246.67,0.91217,0.75572,1.23678,0.84525,0.5269,0.64712,0.46975,1.25565,1.93699,1.49413,0.000693125,0.000693125,0.000693125
11,1367.15,0.90566,0.64182,1.24481,0.77571,0.52931,0.62083,0.44382,1.23622,1.92396,1.46273,0.00063125,0.00063125,0.00063125
12,1488.08,0.88779,0.60601,1.20354,0.81912,0.54471,0.64695,0.45819,1.27537,1.78327,1.50778,0.000569375,0.000569375,0.000569375
13,1605.38,0.87051,0.57324,1.20852,0.77652,0.57444,0.67086,0.48826,1.24522,1.74763,1.46446,0.0005075,0.0005075,0.0005075
14,1724.96,0.83865,0.54218,1.17073,0.78388,0.54404,0.62498,0.45542,1.23282,1.91874,1.48339,0.000445625,0.000445625,0.000445625
15,1843.54,0.80783,0.5393,1.16833,0.78488,0.56456,0.6314,0.45848,1.23467,1.92144,1.46755,0.00038375,0.00038375,0.00038375
16,1960.4,0.77294,0.50699,1.14043,0.78301,0.58125,0.63948,0.46171,1.20721,2.02937,1.43363,0.000321875,0.000321875,0.000321875
17,2077.95,0.76584,0.48813,1.14401,0.74316,0.62009,0.64333,0.46674,1.22441,1.97904,1.4426,0.00026,0.00026,0.00026
18,2199.14,0.76483,0.4817,1.12639,0.74938,0.63426,0.66043,0.47663,1.21112,1.9438,1.43827,0.000198125,0.000198125,0.000198125
19,2316.97,0.74527,0.4783,1.13373,0.74412,0.62519,0.66431,0.48765,1.19559,1.94676,1.43018,0.00013625,0.00013625,0.00013625
20,2449.14,0.72336,0.45997,1.11151,0.7335,0.62931,0.66294,0.49006,1.18425,1.94208,1.41658,7.4375e-05,7.4375e-05,7.4375e-05
